filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,DISORDER,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,MOF,chunk_1 time (s)
1499489-acs.cgd.6b01265_1499490_clean,10.85017,3.77263,10.26663,0.884188,1701.53,1924.4,0.0,0.0,0.6458,0.730388,0.0,Cu,No, ,clean,Y,N,Y,DISORDER,Y,UYICIQ,Y,	01/10/2016,10.1021/acs.cgd.6b01265,"1 SI, 1 Structure",UYICIQ,,,,,,,,,,,,,,,,1499489-acs.cgd.6b01265_1499490_clean,1377.6
ACOCOM_clean,24.60642,13.0343,24.60642,0.349927,1537.41,4393.52,0.0,0.0,0.863,2.46623,0.0,Cu,Yes,Cu,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,ACOCOM_clean,1693.4
ACOCUS_clean,24.38417,13.22222,24.38417,0.346494,1518.48,4382.42,0.0,0.0,0.8644,2.49471,0.0,Zn,Yes,Zn,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,ACOCUS_clean,1771.9
ACODAZ_clean,23.29182,13.11646,23.29182,0.343144,1530.83,4461.21,0.0,0.0,0.8618,2.51148,0.0,Co,Yes,Co,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,ACODAZ_clean,1758.0
acs.cgd.5b01554_VAGNUP1452791_clean,6.16218,5.1323,5.87594,1.47047,1873.32,1273.96,0.0,0.0,0.572,0.388992,0.0,"Cu,Cs,Si",Yes,"Cu,Cs",clean,Y,N,Y,DISORDER,N,,Y,10/02/2016,10.1021/acs.cgd.5b01554,"1 SI, 1 Structure",VAGNUP,,,,,,,,,,,,,,,,acs.cgd.5b01554_VAGNUP1452791_clean,381.0
acs.chemmater.5b03723_cm5b03723_si_004_clean,13.11818,7.33973,12.8246,0.772596,1915.1,2478.78,10.4758,13.5592,0.6956,0.900342,0.0,Cu,Yes,Cu,clean,Y,N,Y,DISORDER,N,,Y,28/07/2015,10.1021/acs.chemmater.5b03723,"1 SI, 1 Structure",TAKKEY,,,,,,,,,,,,,,,,acs.chemmater.5b03723_cm5b03723_si_004_clean,602.0
acs.chemmater.5b03723_cm5b03723_si_005_clean,14.22819,7.4356,14.22819,0.645145,2122.45,3289.88,0.0,0.0,0.7418,1.14982,0.0,Cu,Yes,Cu,clean,Y,N,Y,DISORDER,Y,TAKKIC,Y,28/07/2015,10.1021/acs.chemmater.5b03723,"1 SI, 1 Structure",TAKKIC,,,,,,,,,,,,,,,,acs.chemmater.5b03723_cm5b03723_si_005_clean,313.0
acscombsci.5b00188_34903_clean,6.15808,5.85025,6.15808,2.16583,1748.44,807.285,0.0,0.0,0.542,0.25025,0.0,Cu,No, ,clean,Y,N,Y,DISORDER,N,,N,,,,,,,,,,,,,,,,,,,,acscombsci.5b00188_34903_clean,1518.8
acscombsci.5b00188_5013797_clean,9.69678,6.71185,9.61668,0.664961,2272.9,3418.09,0.0,0.0,0.7302,1.09811,0.0,Zn,No, ,clean,Y,N,Y,DISORDER,N,,N,,,,,,,,,,,,,,,,,,,,acscombsci.5b00188_5013797_clean,251.4
acs.inorgchem.5b02316_ic5b02316_si_002_clean,10.12066,5.58472,9.70957,1.34196,2005.01,1494.09,0.0,0.0,0.658,0.490328,0.0,Cu,Yes,Cu,clean,Y,N,Y,DISORDER,Y,ZADRII,Y,	21/09/2015,10.1021/acs.inorgchem.5b02316,"1 SI, 5 Structure",ZADRII,ZADQUT,ZADRAA,ZADREE,ZADRII,ZADROO,,,,,,,,,,,acs.inorgchem.5b02316_ic5b02316_si_002_clean,7235.6
