folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH,input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.937686137720484,0.0035703283668545,5,Ar,293,qt_then_rd,cat,RATIO0.05,0.05,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.94655570522305,0.0031077662717303,5,Ar,293,qt_then_rd,cat,RATIO0.15,0.15,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9441946059924424,0.0015703355016679,5,Ar,293,qt_then_rd,cat,RATIO0.1,0.1,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9523329923940772,0.0044880145897741,5,Ar,293,qt_then_rd,cat,RATIO0.25,0.25,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9499136351416342,0.0033812379531693,5,Ar,293,qt_then_rd,cat,RATIO0.2,0.2,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9531009856413206,0.0044262700557866,5,Ar,293,qt_then_rd,cat,RATIO0.35,0.35,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9516771541288318,0.0030723467844329,5,Ar,293,qt_then_rd,cat,RATIO0.3,0.3,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9549500994468902,0.003792712638386,5,Ar,293,qt_then_rd,cat,RATIO0.45,0.45,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9550841841595424,0.0029828445149742,5,Ar,293,qt_then_rd,cat,RATIO0.4,0.4,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9541423682195416,0.0059444685453148,5,Ar,293,qt_then_rd,cat,RATIO0.55,0.55,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9550390434752748,0.0059043623098968,5,Ar,293,qt_then_rd,cat,RATIO0.5,0.5,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9573914807653524,0.0014046133523634,5,Ar,293,qt_then_rd,cat,RATIO0.65,0.65,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9576927661053846,0.0005891666209507,5,Ar,293,qt_then_rd,cat,RATIO0.6,0.6,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9575022081632064,0.0009618768688201,5,Ar,293,qt_then_rd,cat,RATIO0.75,0.75,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9570118845826588,0.0016620824682697,5,Ar,293,qt_then_rd,cat,RATIO0.7,0.7,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.956268168295714,0.0029494084268008,5,Ar,293,qt_then_rd,cat,RATIO0.8,0.8,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9280605354590415,0.0084622355448909,5,Ar,293,random_with_input,cat,RATIO0.05,0.05,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9511049945986468,0.003111143421456,5,Ar,293,random_with_input,cat,RATIO0.15,0.15,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9443903968689908,0.0067294772149003,5,Ar,293,random_with_input,cat,RATIO0.1,0.1,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.956488139632586,0.0025017597314694,5,Ar,293,random_with_input,cat,RATIO0.25,0.25,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9533582833251218,0.0030599330521958,5,Ar,293,random_with_input,cat,RATIO0.2,0.2,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.958843928993917,0.0027713025936694,5,Ar,293,random_with_input,cat,RATIO0.35,0.35,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9573831533626054,0.0033387205156093,5,Ar,293,random_with_input,cat,RATIO0.3,0.3,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9611070033027376,0.0029891228910615,5,Ar,293,random_with_input,cat,RATIO0.45,0.45,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9599101569747548,0.0026383668943453,5,Ar,293,random_with_input,cat,RATIO0.4,0.4,0.01,15,struct+input
